Feature,Importance
spectral_bandwidth_mean,0.0740301706063465
mfcc_3_mean,0.07266351980673996
spectral_contrast_mean,0.0644464138310812
mfcc_9_std,0.06178516193793085
mfcc_6_std,0.06142951195272498
mfcc_13_std,0.061208667128982666
mfcc_13_mean,0.05688519202813842
mfcc_12_std,0.04633248320324492
mfcc_5_std,0.044507168018420744
rms_std,0.04378531684531061
mfcc_17_std,0.04025689496045734
mfcc_11_std,0.03172764914420201
mfcc_8_std,0.030577759602385422
spectral_rolloff_mean,0.027896029803508998
spectral_centroid_mean,0.019775571764229727
mfcc_24_std,0.016866216838322512
mfcc_27_std,0.015182509625898715
mfcc_18_std,0.012597746746272015
mfcc_14_mean,0.012147064647512865
mfcc_5_mean,0.01141435338462549
mfcc_15_std,0.009972346851030343
mfcc_1_std,0.009613415360180478
mfcc_21_std,0.008767453976906245
mfcc_18_mean,0.007976092889120415
spectral_bandwidth_std,0.007964974492988943
mfcc_10_std,0.00747892730494997
mfcc_20_std,0.006402528031235009
mfcc_21_mean,0.006173682527892349
mfcc_6_mean,0.005432671762127105
mfcc_40_std,0.005118188511581538
mfcc_34_mean,0.004319610452617431
mfcc_17_mean,0.003971022616524255
mfcc_3_std,0.003942905755844948
mfcc_7_std,0.0035936648346451775
chroma_5_mean,0.003548810999228205
chroma_std,0.0035244406200243892
mfcc_35_std,0.003445690716016171
mfcc_35_mean,0.0033811559813804294
spectral_flatness_std,0.003349522828602767
chroma_6_mean,0.003345920768910129
chroma_11_mean,0.00331627304073
mfcc_23_mean,0.003163549800286179
mfcc_2_std,0.0031534791456168773
mfcc_24_mean,0.0031431655023749856
mfcc_36_std,0.0029988155057996987
mfcc_12_mean,0.002971916460304477
mfcc_32_mean,0.002902502938880107
mfcc_31_mean,0.002489789370358185
mfcc_20_mean,0.0021536632113668902
mfcc_9_mean,0.0019425090757461182
mfcc_30_mean,0.001899526289162647
mfcc_25_std,0.0018930725294228903
spectral_contrast_std,0.0018067853024027276
spectral_rolloff_std,0.0017687941072882303
mfcc_8_mean,0.0017547500508546842
mfcc_10_mean,0.001752894431985451
mfcc_38_mean,0.0017480374149743442
mfcc_34_std,0.0016894219787324085
zcr_mean,0.00166287163057058
spectral_centroid_std,0.0015054846240431573
mfcc_14_std,0.0014626525062753646
mfcc_32_std,0.0014146939258753283
mfcc_7_mean,0.0014142931074587442
chroma_mean,0.0013179014759532265
mfcc_4_mean,0.001305229236677127
mfcc_33_mean,0.001272399542000195
mfcc_30_std,0.0011950643626383066
chroma_1_mean,0.0011491882182831223
mfcc_19_mean,0.0011073446642941112
perc_mean,0.001080927660727517
zcr_std,0.0010745449841468844
harm_std,0.001073981339521926
mfcc_19_std,0.0010616425884101212
perc_std,0.0010125436367420732
mfcc_38_std,0.00100653822029381
mfcc_39_mean,0.0009387470498509434
mfcc_36_mean,0.000922551315488747
harm_perc_ratio,0.000903616772831609
mfcc_22_std,0.0008566067038700115
mfcc_29_mean,0.0008081712136752805
chroma_0_mean,0.000795915807908954
mfcc_28_std,0.0007931203336418148
rms_mean,0.0007742736372628879
mfcc_39_std,0.0007708112797291742
mfcc_16_std,0.000768799924977967
mfcc_26_std,0.000705905198651458
mfcc_29_std,0.0006570515173359512
mfcc_28_mean,0.0006079292946184267
mfcc_25_mean,0.0005992605665650356
mfcc_26_mean,0.0005627271984520452
mfcc_11_mean,0.0005431370141997179
mfcc_27_mean,0.0005351122432046014
mfcc_37_std,0.0005109582058215632
chroma_7_mean,0.00050113175984328
mfcc_2_mean,0.0004960597167708563
mfcc_16_mean,0.0004489197100037632
chroma_9_mean,0.00044153605992406817
energy,0.00041074849093183355
mfcc_33_std,0.00038983031809058076
chroma_4_mean,0.00037534144465883824
chroma_3_mean,0.0003558824625520793
chroma_8_mean,0.00033607398573512893
mfcc_4_std,0.00032001506669431163
chroma_10_mean,0.0003193260941616364
mfcc_31_std,0.0002966423767950485
mfcc_15_mean,0.0002890309310154459
max_amplitude,0.0002280539725357942
chroma_2_mean,0.000223071617751247
mfcc_37_mean,0.00021795754618125207
mfcc_22_mean,0.00018774388657998668
tempo,0.00016811975855679636
harm_mean,0.00013132235300689128
spectral_flatness_mean,0.00012542881646655202
mfcc_40_mean,9.158658344616528e-05
mfcc_1_mean,8.68047318713157e-05
mfcc_23_std,0.0
