nfile,length,label,reliability
slice_001.wav,38.0,1,3.0
slice_002.wav,13.0,0,3.0
slice_003.wav,15.0,0,1.0
slice_004.wav,11.0,0,3.0
slice_005.wav,30.0,0,3.0
slice_006.wav,22.0,0,3.0
slice_007.wav,17.0,0,3.0
slice_008.wav,31.0,0,2.0
slice_009.wav,32.0,0,2.0
slice_010.wav,16.0,0,3.0
slice_011.wav,15.0,0,3.0
slice_012.wav,23.0,0,3.0
slice_013.wav,25.0,0,3.0
slice_014.wav,31.0,0,3.0
slice_015.wav,23.0,0,3.0
slice_016.wav,24.0,0,3.0
slice_017.wav,22.0,0,3.0
slice_018.wav,27.0,0,1.0
slice_019.wav,24.0,0,3.0
slice_020.wav,36.0,0,3.0
slice_021.wav,23.0,0,3.0
slice_022.wav,27.0,0,3.0
slice_023.wav,28.0,0,3.0
slice_024.wav,34.0,0,3.0
slice_025.wav,32.0,0,3.0
slice_026.wav,26.0,0,3.0
slice_027.wav,22.0,0,3.0
slice_028.wav,20.0,0,1.0
slice_029.wav,7.0,1,1.0
slice_030.wav,28.0,0,2.0
slice_031.wav,18.0,0,2.0
slice_032.wav,16.0,0,2.0
slice_033.wav,16.0,0,2.0
slice_034.wav,17.0,0,2.0
slice_035.wav,18.0,0,2.0
slice_036.wav,24.0,0,2.0
slice_037.wav,14.0,0,2.0
slice_038.wav,19.0,0,2.0
slice_039.wav,18.0,0,2.0
slice_040.wav,18.0,0,2.0
slice_041.wav,13.0,0,2.0
slice_042.wav,35.0,0,2.0
slice_043.wav,21.0,0,2.0
slice_044.wav,18.0,0,2.0
slice_045.wav,12.0,0,2.0
slice_046.wav,13.0,0,2.0
slice_047.wav,14.0,0,2.0
slice_048.wav,17.0,0,2.0
slice_049.wav,15.0,0,2.0
slice_050.wav,14.0,0,2.0
slice_052.wav,43.0,0,2.0
slice_053.wav,18.0,0,2.0
slice_054.wav,20.0,0,2.0
slice_055.wav,25.0,0,2.0
slice_056.wav,16.0,0,2.0
slice_057.wav,21.0,0,2.0
slice_058.wav,36.0,0,2.0
slice_059.wav,22.0,0,2.0
slice_060.wav,34.0,0,2.0
slice_061.wav,24.0,0,2.0
slice_062.wav,21.0,0,2.0
slice_063.wav,22.0,0,2.0
slice_064.wav,28.0,0,2.0
slice_065.wav,12.0,0,2.0
slice_066.wav,23.0,0,2.0
slice_067.wav,22.0,0,2.0
slice_068.wav,22.0,0,2.0
slice_069.wav,38.0,0,2.0
slice_070.wav,23.0,0,2.0
slice_071.wav,39.0,0,2.0
slice_072.wav,21.0,0,2.0
slice_073.wav,26.0,0,2.0
slice_074.wav,14.0,0,2.0
slice_075.wav,17.0,0,1.0
slice_076.wav,30.0,0,2.0
slice_077.wav,17.0,0,1.0
slice_078.wav,18.0,0,2.0
slice_079.wav,13.0,0,2.0
slice_080.wav,26.0,0,2.0
slice_081.wav,38.0,0,2.0
slice_082.wav,18.0,0,2.0
slice_083.wav,11.0,0,2.0
slice_084.wav,14.0,0,2.0
slice_085.wav,17.0,0,2.0
slice_086.wav,19.0,0,2.0
slice_087.wav,12.0,0,2.0
slice_088.wav,19.0,0,2.0
slice_089.wav,19.0,0,2.0
slice_090.wav,16.0,0,3.0
slice_091.wav,19.0,0,2.0
slice_092.wav,26.0,0,2.0
slice_093.wav,16.0,0,2.0
slice_095.wav,20.0,0,2.0
slice_096.wav,23.0,0,2.0
slice_097.wav,29.0,0,2.0
slice_098.wav,20.0,0,2.0
slice_099.wav,20.0,0,2.0
slice_100.wav,23.0,0,2.0
slice_101.wav,27.0,0,2.0
slice_102.wav,21.0,0,2.0
slice_103.wav,28.0,0,2.0
slice_104.wav,17.0,0,2.0
slice_105.wav,24.0,0,3.0
slice_106.wav,20.0,0,3.0
slice_107.wav,21.0,0,2.0
slice_108.wav,66.0,0,2.0
slice_109.wav,17.0,0,2.0
slice_110.wav,25.0,0,2.0
slice_111.wav,14.0,0,2.0
slice_112.wav,27.0,0,2.0
slice_113.wav,19.0,0,2.0
slice_114.wav,17.0,0,2.0
slice_115.wav,18.0,0,3.0
slice_116.wav,35.0,1,2.0
slice_117.wav,20.0,0,2.0
slice_118.wav,18.0,0,2.0
slice_119.wav,17.0,0,2.0
slice_120.wav,14.0,0,2.0
slice_121.wav,16.0,0,2.0
slice_122.wav,11.0,0,2.0
slice_123.wav,22.0,0,2.0
slice_124.wav,21.0,0,2.0
slice_125.wav,12.0,0,2.0
slice_126.wav,16.0,0,2.0
slice_127.wav,30.0,0,2.0
slice_128.wav,16.0,0,2.0
slice_129.wav,33.0,0,2.0
slice_130.wav,13.0,0,2.0
slice_131.wav,31.0,0,2.0
slice_132.wav,15.0,0,2.0
slice_133.wav,12.0,0,2.0
slice_134.wav,13.0,0,2.0
slice_135.wav,14.0,0,2.0
slice_136.wav,17.0,0,2.0
slice_137.wav,14.0,0,2.0
slice_138.wav,16.0,0,2.0
slice_139.wav,34.0,0,2.0
slice_140.wav,43.0,0,2.0
slice_141.wav,24.0,0,2.0
slice_142.wav,17.0,0,2.0
slice_143.wav,18.0,0,2.0
slice_144.wav,15.0,0,2.0
slice_145.wav,16.0,0,2.0
slice_146.wav,13.0,0,2.0
slice_147.wav,17.0,0,2.0
slice_148.wav,24.0,0,2.0
slice_149.wav,23.0,0,3.0
slice_150.wav,20.0,0,2.0
slice_151.wav,23.0,0,2.0
